abc_order	mkhedruli	asomtavruli	nuskhuri	alt_asomtavruli_spelling	latin_equivalent	number_equivalent	letter_name	read_as	learn_order	learn_order2
1	ა	Ⴀ	ⴀ		a	1	ან		1	1
2	ბ	Ⴁ	ⴁ		b	2	ბან		19	11
3	გ	Ⴂ	ⴂ		g	3	გან		14	13
4	დ	Ⴃ	ⴃ		d	4	დონ		20	10
5	ე	Ⴄ	ⴄ		e	5	ენ		7	9
6	ვ	Ⴅ	ⴅ		v	6	ვინ		13	12
7	ზ	Ⴆ	ⴆ		z	7	ზენ		16	19
8	ჱ	Ⴡ	ⴡ		E	8	ეჲ	ეი	102	102
9	თ	Ⴇ	ⴇ		T	9	თან		3	3
10	ი	Ⴈ	ⴈ		i	10	ინ		2	2
11	კ	Ⴉ	ⴉ		k	20	კან		12	16
12	ლ	Ⴊ	ⴊ		l	30	ლას		22	22
13	მ	Ⴋ	ⴋ		m	40	მან		10	14
14	ნ	Ⴌ	ⴌ		n	50	ნარ		26	29
15	ჲ	Ⴢ	ⴢ		I	60	ჲე	ი	101	101
16	ო	Ⴍ	ⴍ		o	70	ონ		6	6
17	პ	Ⴎ	ⴎ		p	80	პარ		25	28
18	ჟ	Ⴏ	ⴏ		J	90	ჟან		24	21
19	რ	Ⴐ	ⴐ		r	100	რაე		17	8
20	ს	Ⴑ	ⴑ		s	200	სან		4	4
21	ტ	Ⴒ	ⴒ		t	300	ტარ		29	30
22	ჳ	Ⴣ	ⴣ		V	400	უიე	ვი	103	103
23	უ	Ⴓ	ⴓ	ႭჃ	u	400	უნ		8	7
24	ფ	Ⴔ	ⴔ		f	500	ფარ		15	20
25	ქ	Ⴕ	ⴕ		q	600	ქან		30	17
26	ღ	Ⴖ	ⴖ		R	700	ღან		21	23
27	ყ	Ⴗ	ⴗ		y	800	ყარ		23	25
28	შ	Ⴘ	ⴘ		S	900	შინ		11	15
29	ჩ	Ⴙ	ⴙ		C	1000	ჩინ		18	24
30	ც	Ⴚ	ⴚ		c	2000	ცან		28	18
31	ძ	Ⴛ	ⴛ		Z	3000	ძილ		9	27
32	წ	Ⴜ	ⴜ		w	4000	წილ		27	31
33	ჭ	Ⴝ	ⴝ		W	5000	ჭარ		31	33
34	ხ	Ⴞ	ⴞ		x	6000	ხან		5	5
35	ჴ	Ⴤ	ⴤ		X	7000	ჴარ	ხ	104	104
36	ჯ	Ⴟ	ⴟ		j	8000	ჯან		32	26
37	ჰ	Ⴠ	ⴠ		h	9000	ჰაე		33	32
38	ჵ	Ⴥ	ⴥ		H	10000	ჰოე	ჰოი	105	105
